Name,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,Magic1,Magic2,PEG
BTG,31.75,0.0,1220700.0,38867.0,0.0,,-,,-,0.0,,,,-,37.32,,,
BTNC,15.5,5.44,16100.0,246.0,166.0,,0.37,0.22,,0.0,-0.17,-0.32,3.22,,29.43,,,
BTS,8.1,0.0,10590900.0,85792.0,105999.0,36.92,1.72,2.15,0.15,0.22,3.06,4.65,11.56,3.83,59.28,989.0,1006.0,1.06
BTW,0.63,0.0,177600.0,113.0,484.0,,0.47,0.9,,0.0,-0.64,-2.85,0.8,,56.49,,,
BUI,17.3,0.0,100.0,2.0,519.0,,0.69,2.05,1.00,0.43,-0.18,-0.5,2.69,5.78,27.68,,,
BVG,6.75,3.85,152664000.0,1009398.0,0.0,,-,,-,0.0,,,,-,35.0,,,
BWG,1.03,-1.9,38954100.0,40268.0,5050.0,,1.26,0.47,,0.0,1.15,-4.33,-2.79,,94.48,,,
BYD,11.5,-0.86,3837600.0,44291.0,47757.0,,3.96,0.01,,0.0,-1.05,-1.08,-87.88,,61.4,,,
CAZ,4.02,0.0,2379300.0,9563.0,1176.0,5.35,1.52,1.54,0.16,0.75,15.82,31.88,7.27,3.98,29.23,79.0,118.0,0.08
CBG,102.5,-2.38,5975200.0,604207.0,100500.0,43.96,9.78,0.9,0.75,2.29,13.97,21.4,11.75,1.85,28.69,567.0,582.0,1.78
CCET,2.34,0.0,852500.0,2008.0,12712.0,33.95,0.64,4.54,0.02,0.07,1.9,1.96,0.52,1.16,28.01,1052.0,1054.0,-2.14
CCP,0.46,4.55,2576900.0,1150.0,1218.0,233.46,0.92,0.85,0.01,0.0,1.78,0.39,0.99,2.83,48.22,1240.0,1197.0,-3.95
CEN,2.94,0.0,15700.0,46.0,2191.0,,1.15,0.21,0.12,0.0,-7.81,-7.72,-10.56,4.20,55.76,,,
CENTEL,54.25,-1.36,6186100.0,334248.0,73238.0,1391.26,3.97,1.57,,0.04,1.65,0.29,-0.78,,71.96,1253.0,1219.0,-23.22
CEYE,4.9,2.08,1634400.0,7992.0,1339.0,29.04,2.68,0.24,0.15,0.17,8.77,8.23,12.04,,30.12,796.0,664.0,5.8
CFRESH,2.52,0.8,637400.0,1624.0,2355.0,8.2,1.04,0.87,,0.31,8.52,13.39,2.94,,33.05,286.0,327.0,-0.02
CGD,0.48,4.35,50192100.0,23888.0,3968.0,5.25,0.94,3.14,,0.09,10.91,19.2,5.84,,54.03,157.0,204.0,0.08
CGH,0.91,0.0,42431400.0,38962.0,3685.0,33.07,0.63,0.66,,0.03,1.12,1.91,-2.86,,58.38,1049.0,1087.0,8.46
CH,3.98,1.53,4199700.0,16765.0,3168.0,26.62,2.48,0.73,,0.15,9.36,11.57,7.99,,50.01,659.0,622.0,5.13
CHARAN,29.5,-0.84,800.0,24.0,357.0,51.01,0.67,0.91,,0.58,0.76,1.33,6.27,,55.22,1144.0,1179.0,-0.23
CHAYO,9.5,4.4,4691500.0,43950.0,10275.0,48.11,3.57,0.87,,0.2,3.9,8.01,22.7,0.04,60.52,899.0,1000.0,1.23
CHEWA,0.74,0.0,1901800.0,1410.0,944.0,8.17,0.47,2.17,0.02,0.09,3.57,5.93,5.37,2.47,25.82,550.0,587.0,-0.15
CHG,3.94,-0.51,24417300.0,95477.0,42900.0,9.97,5.91,0.41,0.09,0.39,53.29,66.17,29.01,5.08,42.53,136.0,131.0,0.12
CHIC,0.84,1.2,1116400.0,930.0,1129.0,44.22,1.36,1.27,,0.02,3.19,2.39,2.48,,26.11,1087.0,1037.0,9.16
CHO,0.4,2.56,9196100.0,3657.0,1157.0,,1.00,2.18,,0.0,-13.23,-71.06,-103.51,,69.5,,,
CHOTI,175.5,0.29,1500.0,261.0,1316.0,8.61,1.36,1.12,3.18,0.0,9.54,16.93,5.15,1.82,25.8,251.0,309.0,-0.06
CHOW,3.04,-0.65,105700.0,321.0,2480.0,2.43,1.46,1.4,,1.28,18.44,82.81,45.76,,35.55,12.0,67.0,0.02
CI,0.83,0.0,316200.0,262.0,885.0,,0.70,3.84,,0.0,-0.1,-13.23,-16.78,,31.25,,,
CIG,0.49,-2.0,2079500.0,1033.0,424.0,,2.45,4.14,,0.0,-7.51,-52.92,-8.35,,63.25,,,
CIMBT,0.84,0.0,1042100.0,875.0,29251.0,8.25,0.66,11.1,0.01,0.1,0.72,8.17,26.25,1.19,5.17,462.0,745.0,
CITY,2.1,0.0,9300.0,20.0,630.0,,0.47,0.01,,0.0,-0.57,-0.68,-25.17,,26.68,,,
CIVIL,3.02,2.03,1022100.0,3055.0,2086.0,85.23,1.26,3.74,0.02,0.03,0.99,1.89,0.04,0.66,30.19,1167.0,1212.0,0.47
CK,22.5,1.35,5951500.0,133198.0,37774.0,33.95,1.51,2.3,0.15,0.66,3.06,4.34,6.49,1.10,65.49,982.0,993.0,-9.44
CKP,4.36,0.93,4782000.0,20674.0,35607.0,14.32,1.39,0.88,0.08,0.31,5.86,9.93,27.06,1.83,25.53,543.0,572.0,0.08
CM,2.62,0.77,77500.0,201.0,991.0,,0.79,0.34,,0.0,-2.72,-2.95,0.42,,35.76,,,
CMAN,2.28,3.64,1936500.0,4387.0,2170.0,15.63,0.93,1.89,,0.14,4.29,6.15,5.07,,41.41,713.0,710.0,
CMC,1.46,-0.68,76600.0,112.0,1502.0,,0.57,1.22,0.04,0.0,1.71,-1.2,-1.89,2.74,38.21,,,
CMO,4.98,2.47,1970000.0,9797.0,1405.0,,2.82,1.17,,0.0,-2.13,-11.47,-5.88,,44.45,,,
CMR,2.7,0.0,193300.0,522.0,10862.0,18.82,2.20,0.83,0.07,0.14,8.03,13.41,11.52,2.41,15.19,513.0,574.0,6.86
CNT,1.53,0.66,40200.0,61.0,1604.0,,0.86,2.26,,0.0,-1.1,-5.19,-0.28,,27.44,,,
COLOR,1.63,0.0,36600.0,60.0,954.0,18.25,1.17,0.79,0.05,0.09,4.29,6.48,4.98,3.07,41.6,738.0,752.0,0.68
COM7,29.25,-1.68,10439900.0,305477.0,72000.0,23.57,11.28,2.05,1.00,1.27,24.51,56.63,4.82,1.72,50.03,364.0,380.0,0.5
COMAN,5.75,0.0,198100.0,1146.0,771.0,,2.20,0.12,0.09,0.0,-5.05,-11.35,-55.83,1.53,67.88,,,
COTTO,2.0,0.5,3715100.0,7390.0,11925.0,,1.35,0.28,0.04,0.0,-2.4,-2.52,-1.72,2.00,15.1,,,
CPALL,64.25,-3.02,43497700.0,2819100.0,586147.0,34.81,5.94,2.24,0.60,1.87,5.08,17.3,1.62,0.93,57.82,609.0,869.0,-10.69
CPANEL,10.8,6.93,483400.0,5058.0,1696.0,28.0,3.90,0.5,0.02,0.38,11.62,14.93,15.46,0.16,41.01,606.0,569.0,0.19
CPF,22.6,-1.31,23936800.0,543127.0,196336.0,10.11,0.74,2.25,0.40,2.26,4.97,8.08,2.65,2.89,45.67,510.0,545.0,3.24
CPH,30.75,2.5,314000.0,9593.0,1210.0,4.36,1.32,0.83,,6.94,20.23,35.61,13.56,,45.94,55.0,70.0,0.01
CPI,3.06,1.32,789100.0,2409.0,1936.0,5.79,0.82,0.94,0.19,0.53,9.47,14.96,4.83,6.21,55.11,225.0,258.0,-0.02
CPL,2.64,5.6,484400.0,1268.0,1152.0,24.3,1.14,1.42,0.05,0.11,3.54,4.75,1.87,1.89,30.19,893.0,887.0,-0.09
CPN,72.0,0.0,4353900.0,314631.0,323136.0,32.95,4.08,2.1,0.60,2.19,5.38,13.0,28.7,0.83,65.65,676.0,839.0,-17.02
CPR,5.75,3.6,248700.0,1414.0,1144.0,18.28,1.85,0.14,0.11,0.31,11.09,10.49,13.52,1.91,18.53,597.0,461.0,1.06
CPT,0.74,0.0,15800.0,12.0,666.0,,0.75,0.55,,0.0,-4.07,-4.83,-1.49,,45.87,,,
CPW,3.78,0.53,81100.0,308.0,2328.0,23.58,3.18,1.49,0.08,0.16,10.01,13.95,0.95,2.12,29.88,556.0,558.0,0.27
CRANE,1.61,1.9,1049700.0,1680.0,1243.0,,1.53,1.63,,0.0,-8.22,-24.14,-28.03,,58.92,,,
CRC,44.25,0.57,5803400.0,256701.0,268380.0,43.04,4.20,3.06,0.30,1.03,4.29,10.47,2.26,0.68,53.09,803.0,954.0,
CRD,0.79,2.6,26300.0,21.0,390.0,,1.13,2.3,,0.0,-0.03,-4.27,-1.25,,30.97,,,
CSC,48.5,0.0,300.0,15.0,2522.0,10.85,0.66,0.26,1.80,4.97,6.03,6.21,7.12,3.71,38.06,605.0,493.0,-1.18
CSP,1.3,0.0,32800.0,43.0,650.0,,0.82,1.94,0.20,0.0,1.02,-0.22,-2.77,23.08,19.38,,,
CSR,69.0,0.0,200.0,14.0,1415.0,38.67,1.17,0.14,0.75,1.13,3.48,3.19,24.45,1.09,24.99,1038.0,991.0,-3.1
CSS,1.51,-0.66,342800.0,520.0,1799.0,7.18,1.01,0.91,0.04,0.21,9.55,14.46,2.57,8.61,70.77,255.0,273.0,0.27
CTW,5.95,-0.83,12500.0,74.0,2368.0,,0.61,0.61,0.10,0.0,-6.38,-8.9,0.55,1.68,26.18,,,
CV,1.74,1.75,1856300.0,3217.0,2227.0,25.19,1.13,1.09,0.02,0.07,3.98,4.56,2.77,1.35,47.23,904.0,856.0,
CWT,2.64,4.76,2068700.0,5403.0,1638.0,7.0,0.90,0.73,0.05,0.37,9.18,13.43,13.91,2.03,56.47,268.0,290.0,0.22
D,6.7,3.88,1847300.0,12259.0,2098.0,63.83,3.97,1.22,0.03,0.11,4.51,6.66,6.97,,34.74,974.0,987.0,-58.72
DCC,2.38,2.59,9924600.0,23563.0,22084.0,13.53,3.72,0.56,0.01,0.18,22.12,27.75,19.41,5.29,43.73,262.0,240.0,1.86
DCON,0.42,-2.33,4193100.0,1796.0,2316.0,17.16,0.91,0.18,0.01,0.03,5.57,5.45,10.2,2.62,32.0,755.0,640.0,7.03
DDD,17.9,2.29,307000.0,5481.0,5658.0,39.36,1.22,0.12,0.35,0.45,4.11,3.13,3.21,1.96,34.9,1049.0,953.0,-0.25
DELTA,958.0,0.63,834050.0,798530.0,1204971.0,78.53,22.03,0.66,4.00,12.3,19.75,31.94,12.84,0.42,22.35,607.0,611.0,4.56
DEMCO,4.62,0.87,858400.0,4001.0,3418.0,,0.82,0.66,0.03,0.0,-0.14,-1.94,-11.52,0.65,71.75,,,
DHOUSE,0.83,-3.49,337700.0,291.0,739.0,,1.69,0.67,,0.0,-1.5,-3.06,-41.53,,22.38,,,
DIMET,0.47,0.0,836400.0,385.0,1146.0,,2.35,0.14,,0.0,-37.4,-48.32,-56.95,,78.79,,,
DITTO,44.0,4.76,1602200.0,69200.0,23105.0,87.51,18.86,0.28,0.01,0.5,23.13,24.14,20.23,0.02,47.44,650.0,598.0,0.01
DMT,12.2,2.52,645700.0,7785.0,14411.0,20.57,1.48,0.07,0.15,0.59,8.49,7.33,42.3,2.62,25.03,728.0,576.0,
DOD,5.05,0.0,369600.0,1862.0,2071.0,,1.67,0.32,,0.0,4.68,-0.52,-7.92,,61.74,,,
DOHOME,14.0,1.45,4550200.0,63232.0,41276.0,35.63,3.54,1.78,0.02,0.4,5.97,10.43,3.46,0.13,24.75,768.0,811.0,0.06
DPAINT,10.0,2.04,1558000.0,15195.0,2300.0,47.34,3.60,0.56,,0.21,7.9,11.34,5.9,,39.13,784.0,786.0,0.09
DRT,8.2,1.23,225800.0,1857.0,7011.0,11.21,2.94,0.57,0.24,0.73,21.34,27.6,11.92,5.61,37.66,222.0,201.0,1.23
DTAC,52.25,0.0,0.0,0.0,123718.0,39.66,6.57,7.1,1.22,2.16,4.27,16.0,3.87,4.08,29.26,660.0,946.0,-0.35
DTCENT,2.06,0.98,1653500.0,3425.0,0.0,,-,,-,0.0,,,,-,25.0,,,
DTCI,31.75,0.0,0.0,0.0,318.0,60.29,0.82,0.19,0.20,1.49,1.67,1.37,5.53,0.66,26.61,1156.0,1152.0,3.52
DUSIT,12.1,-2.42,380900.0,4651.0,10115.0,,2.49,6.26,,0.0,-2.3,-23.16,-17.49,,26.81,,,
DV8,0.84,1.2,200.0,0.0,586.0,,1.39,0.21,,0.0,-4.87,-6.22,-15.88,,41.63,,,
EA,83.0,-0.9,4474300.0,371776.0,298400.0,40.8,8.15,1.46,0.30,1.96,9.33,21.73,30.38,0.36,39.8,596.0,720.0,2.91
EASON,1.32,0.76,170200.0,223.0,759.0,29.56,0.76,0.21,0.04,0.05,3.24,2.56,10.82,,41.92,1005.0,952.0,0.47
EASTW,5.3,0.95,1107800.0,5886.0,8818.0,10.85,0.78,1.11,0.12,0.49,5.32,7.27,18.6,7.92,41.08,552.0,538.0,-6.04
ECF,1.7,-0.58,1861300.0,3167.0,1641.0,34.86,1.18,1.83,0.02,0.05,5.35,3.5,2.82,0.92,49.74,1008.0,849.0,21.03
ECL,2.0,0.0,495300.0,991.0,2218.0,10.4,1.21,1.48,0.05,0.19,4.47,11.89,30.49,4.00,48.74,388.0,590.0,0.09
EE,0.6,0.0,1677000.0,1006.0,1668.0,,1.00,,,0.0,-3.39,-2.16,-577.58,,51.48,,,
EFORL,0.37,-2.63,14395800.0,5258.0,1439.0,20.84,3.00,2.18,,0.02,5.66,16.3,3.15,,68.56,506.0,705.0,-0.36
EGCO,170.5,-0.29,392300.0,67079.0,89762.0,23.13,0.69,1.09,3.25,7.37,6.42,3.19,6.67,3.81,50.0,917.0,688.0,-30.2
EKH,9.15,0.55,6157300.0,56409.0,6142.0,21.26,3.94,0.13,0.13,0.43,24.15,23.28,24.22,2.43,54.15,428.0,365.0,0.26
EMC,0.16,0.0,4472800.0,685.0,1349.0,,0.73,0.65,,0.0,-8.93,-12.04,-23.04,,43.23,,,
EP,3.76,-1.05,852900.0,3205.0,3544.0,3.48,0.93,1.09,0.25,1.09,17.89,28.79,15.54,6.65,34.16,74.0,81.0,0.06
EPG,8.75,-1.69,4560600.0,40024.0,24360.0,20.96,2.09,0.69,0.11,0.42,7.54,10.04,9.0,3.77,25.85,656.0,622.0,3.52
ERW,4.68,-3.31,60825800.0,281965.0,21298.0,,3.82,2.85,,0.0,-1.33,-11.97,-15.76,,58.79,,,
ESSO,9.1,2.25,10679100.0,96272.0,31148.0,2.63,1.08,2.33,0.50,3.42,18.29,50.3,5.55,,34.01,19.0,69.0,-0.05
ESTAR,0.36,0.0,2365700.0,856.0,1808.0,23.64,0.38,0.32,,0.02,1.73,1.6,3.57,,39.65,974.0,973.0,0.82
ETC,4.22,-1.4,3685900.0,15660.0,9453.0,52.66,3.27,0.33,,0.08,6.22,6.4,25.55,,33.84,973.0,862.0,1.89
ETE,1.17,0.86,104300.0,121.0,650.0,,0.74,1.15,,0.0,1.18,-0.34,-0.15,,43.42,,,
EVER,0.26,0.0,2020400.0,526.0,1262.0,,0.48,1.67,,0.0,-3.14,-19.43,-24.11,,57.93,,,
F&D,33.75,0.75,2200.0,74.0,590.0,38.63,0.49,0.32,,0.87,1.69,1.34,3.62,,23.69,1101.0,1091.0,0.15
FANCY,0.72,7.46,2636900.0,1853.0,437.0,,0.51,0.07,,0.0,-6.05,-6.55,-19.29,,52.49,,,
FE,179.5,0.0,0.0,0.0,1413.0,32.74,1.04,0.14,5.50,8.65,3.26,3.18,0.73,3.06,22.03,1011.0,975.0,-3.28
FLOYD,1.58,1.94,451300.0,713.0,572.0,71.65,1.35,0.26,,0.02,1.78,1.9,5.13,,27.13,1161.0,1163.0,-37.13
FMT,32.0,0.0,0.0,0.0,1536.0,11.88,0.91,0.95,2.63,0.98,5.5,7.68,1.31,8.40,25.26,573.0,556.0,0.22
FN,2.0,1.01,400.0,1.0,2000.0,,1.52,0.21,,0.0,-4.48,-5.2,-13.97,0.19,25.36,,,
FNS,3.58,0.0,54800.0,196.0,1252.0,71.4,0.49,0.36,0.50,0.05,0.45,0.67,64.77,13.97,54.79,1199.0,1233.0,-0.46
FORTH,43.5,3.57,3679500.0,158968.0,42000.0,50.86,21.24,2.47,0.15,0.86,14.67,46.87,8.61,1.03,34.01,533.0,615.0,1.97
FPI,2.98,0.68,3943100.0,11698.0,4418.0,9.51,2.16,0.8,0.08,0.31,17.65,25.02,16.49,3.92,21.04,196.0,190.0,0.03
FPT,14.9,-0.67,5500.0,82.0,34789.0,17.14,0.96,1.72,0.43,0.87,3.74,5.7,8.5,2.89,17.14,755.0,770.0,0.18
FSMART,12.6,3.28,11902500.0,149369.0,9750.0,28.68,8.74,1.64,0.20,0.44,14.87,30.97,13.04,3.65,36.45,472.0,517.0,60.23
FSS,3.62,1.12,848800.0,3066.0,2209.0,10.32,0.79,1.37,0.10,0.37,3.25,7.92,8.41,2.76,33.23,508.0,650.0,0.11
FTE,1.48,0.68,161800.0,237.0,977.0,20.63,1.23,0.53,0.03,0.07,5.72,6.18,5.44,0.34,35.17,783.0,685.0,-0.95
FTI,2.18,0.93,395800.0,859.0,972.0,25.55,1.39,0.23,,0.08,5.16,5.28,5.21,,27.66,884.0,792.0,2.1
FVC,1.26,1.61,734300.0,921.0,712.0,16.94,2.03,0.84,,0.07,8.4,12.75,4.3,,65.4,504.0,527.0,0.02
GBX,1.02,0.99,1871800.0,1895.0,1122.0,14.97,0.76,0.6,0.11,0.07,3.2,4.98,8.21,10.78,46.99,743.0,767.0,0.09
GC,5.4,0.0,156000.0,848.0,2398.0,14.67,4.16,2.19,0.15,0.37,11.86,29.04,2.95,6.48,34.42,278.0,368.0,0.87
GCAP,1.33,0.0,1918500.0,2561.0,500.0,,0.98,2.06,0.10,0.0,-1.48,-5.36,-4.01,6.04,73.39,,,
GEL,0.3,0.0,4839400.0,1452.0,2112.0,,0.52,0.78,,0.0,-1.15,-3.34,-4.97,,82.5,,,
GENCO,0.74,-1.33,471200.0,352.0,842.0,,0.63,0.16,,0.0,-0.6,-1.16,-7.37,,72.82,,,
GFPT,12.5,3.31,1361800.0,16825.0,15673.0,9.52,0.98,0.44,0.10,1.31,8.5,10.79,11.75,0.80,57.91,409.0,368.0,-0.53
GGC,13.0,0.0,258600.0,3369.0,13410.0,14.07,1.30,0.32,0.25,0.93,8.39,9.39,3.79,3.85,16.5,552.0,470.0,-3.39
GIFT,7.85,0.64,646000.0,5064.0,2514.0,,5.03,0.03,,0.0,-3.35,-3.49,-5.4,2.31,31.77,,,
GJS,0.35,0.0,2301300.0,806.0,9175.0,5.56,0.55,0.05,,0.06,10.1,10.49,4.88,,34.82,336.0,234.0,
GL,0.65,0.0,0.0,0.0,0.0,28.64,1.05,1.77,0.274,0.0,-10.76,-30.67,-61.04,6.09,44.15,,,0.05
GLAND,2.16,1.89,54200.0,116.0,14430.0,26.64,0.97,0.85,,0.08,3.02,3.69,37.04,,5.09,932.0,930.0,2.03
GLOBAL,19.0,0.0,11641500.0,221134.0,93634.0,26.85,4.30,0.77,0.25,0.73,11.54,16.87,9.69,1.34,31.95,554.0,546.0,1.3
GLOCON,0.61,1.67,4353600.0,2613.0,1846.0,,1.18,0.71,,0.0,-8.25,-11.95,0.27,,72.61,,,
GLORY,4.3,11.98,43555400.0,188868.0,1172.0,40.45,3.65,0.11,0.06,0.11,10.88,9.39,20.97,1.40,27.02,826.0,663.0,-0.33
GPI,1.73,0.58,753400.0,1294.0,1044.0,28.57,1.36,0.12,0.05,0.06,6.02,4.74,14.68,3.47,43.35,933.0,763.0,-1.09
GPSC,70.25,-1.06,4173500.0,294311.0,197381.0,221.42,1.88,1.51,0.30,0.32,1.92,0.84,0.71,0.71,24.75,1228.0,1189.0,8.77
GRAMMY,10.3,0.0,3700.0,38.0,8445.0,450.75,6.60,2.94,,0.02,0.01,1.5,-2.32,,15.07,1214.0,1286.0,1.55
GRAND,0.24,0.0,3505900.0,836.0,2242.0,,0.57,3.63,,0.0,-5.84,-50.6,-64.03,,49.14,,,
GREEN,1.11,-0.89,104600.0,118.0,908.0,,1.18,0.41,,0.0,-1.91,-4.23,-26.18,,46.98,,,
GSC,1.94,3.74,295100.0,568.0,500.0,48.32,2.22,0.17,,0.04,2.45,4.72,18.51,,43.18,1028.0,1081.0,-0.54
GSTEEL,0.09,0.0,0.0,0.0,0.0,,,1.38,0.02,0.0,-9.95,-4.02,-4.49,,30.71,,,
GTB,0.75,1.35,190200.0,144.0,720.0,19.0,1.06,0.52,,0.04,4.6,5.7,3.91,,24.85,786.0,745.0,0.01
GULF,54.0,-0.46,7965100.0,431020.0,633590.0,55.49,5.72,2.08,0.60,0.97,5.92,11.01,12.01,1.11,26.23,814.0,885.0,1.92
GUNKUL,4.26,0.95,75643600.0,322679.0,38195.0,11.48,2.61,1.29,0.06,0.37,12.07,24.22,47.3,4.23,45.71,250.0,309.0,0.27
GYT,185.5,0.0,0.0,0.0,1373.0,,0.39,1.41,,0.0,0.34,-0.07,-0.65,,25.27,,,
HANA,58.0,1.31,2850800.0,165062.0,46683.0,48.12,1.96,0.27,0.50,1.21,3.6,4.07,5.04,3.45,57.77,1048.0,1019.0,-13.45
HARN,2.28,0.0,21900.0,49.0,1321.0,15.06,1.00,0.3,0.10,0.15,6.7,6.69,7.22,4.39,36.91,675.0,555.0,0.44
HEMP,3.8,1.06,133000.0,502.0,1446.0,,1.04,0.05,,0.0,-7.5,-4.84,-15.84,,36.73,,,
HENG,3.16,3.27,26303600.0,83240.0,11811.0,25.61,2.35,1.26,0.01,0.12,3.85,9.4,16.75,0.32,30.09,777.0,926.0,-0.03
HFT,6.55,0.77,61900.0,405.0,4313.0,8.83,1.18,0.16,0.43,0.74,14.2,13.79,14.33,6.49,45.73,301.0,197.0,0.93
HL,24.9,-0.4,439700.0,10946.0,6746.0,63.43,7.45,0.33,0.16,0.39,16.54,19.94,7.37,0.64,25.85,667.0,627.0,24.31
HMPRO,14.8,0.68,13193400.0,193952.0,195953.0,30.91,8.66,1.76,0.17,0.48,13.88,29.05,8.96,2.16,40.86,493.0,544.0,4.75
HPT,0.92,1.1,8727800.0,8062.0,636.0,16.09,2.00,0.15,0.02,0.06,13.65,12.77,12.65,3.06,36.07,474.0,355.0,-0.21
HTC,30.75,0.82,103500.0,3181.0,6230.0,15.27,1.71,0.53,0.55,2.03,8.96,11.39,6.22,5.82,30.69,509.0,479.0,0.72
HTECH,4.14,0.0,299600.0,1214.0,1242.0,9.24,0.96,0.26,0.10,0.45,10.55,10.87,10.91,4.59,77.54,396.0,295.0,0.43
HUMAN,11.8,0.85,565700.0,6664.0,10236.0,69.11,3.03,0.16,0.06,0.17,6.12,6.27,14.34,1.06,60.42,1010.0,897.0,4.32
HYDRO,0.86,-1.15,69200.0,58.0,268.0,,2.39,2.81,,0.0,-13.24,-129.44,-45.42,,60.27,,,
ICC,35.5,0.0,900.0,31.0,10317.0,25.81,0.37,0.2,0.35,0.0,1.43,1.45,3.55,0.99,27.99,1005.0,1011.0,-0.28
ICHI,12.5,1.63,3194600.0,39694.0,15860.0,27.28,2.65,0.19,0.50,0.45,10.49,9.65,9.46,4.00,52.51,744.0,601.0,0.18
ICN,4.02,3.08,3213300.0,12956.0,2484.0,24.17,3.05,0.61,0.10,0.17,8.7,13.75,8.79,5.43,71.32,578.0,619.0,0.98
IFEC,0.35,0.0,0.0,0.0,0.0,,,-2.0,0.12,0.0,-5.14,9.43,-207.39,,88.18,,,
IFS,3.0,2.04,905700.0,2708.0,1471.0,9.38,0.89,1.22,0.16,0.32,4.17,9.26,37.29,5.27,26.81,421.0,551.0,1.42
IHL,3.32,0.0,205300.0,683.0,1980.0,14.83,1.20,1.29,0.10,0.23,5.6,8.24,6.54,6.02,44.46,603.0,598.0,-0.13
IIG,33.25,-4.32,1492000.0,50133.0,3615.0,39.27,3.95,0.83,0.40,0.85,13.07,16.56,9.77,1.11,42.43,645.0,603.0,-3.85
III,14.9,-1.32,6252700.0,93025.0,11154.0,23.13,3.94,0.59,0.15,0.65,18.95,27.4,16.4,2.25,50.01,413.0,407.0,0.58
ILINK,7.65,3.38,789800.0,5947.0,4104.0,10.82,1.16,1.36,0.38,0.7,7.04,11.27,5.38,4.97,49.73,426.0,455.0,0.07
ILM,18.1,0.56,685100.0,12319.0,9191.0,14.67,1.68,1.21,0.20,1.24,7.77,11.76,7.27,3.04,24.68,476.0,508.0,-0.18
IMH,12.4,-2.36,786900.0,9735.0,2688.0,7.45,3.05,0.31,0.90,1.68,42.04,45.3,37.03,7.26,30.94,82.0,68.0,-0.01
IND,1.86,3.33,1108700.0,2034.0,648.0,11.9,1.64,0.85,,0.16,10.62,14.78,5.19,,48.71,370.0,365.0,-0.1
INET,5.4,2.86,486300.0,2618.0,2675.0,20.73,1.20,3.8,0.04,0.26,6.59,5.94,6.18,0.78,50.87,798.0,651.0,0.34
INGRS,0.55,-1.79,2434700.0,1342.0,810.0,,0.68,2.77,,0.0,-3.33,-21.33,-4.85,,39.43,,,
INOX,0.99,1.02,1692800.0,1666.0,7718.0,37.45,0.84,0.26,0.02,0.03,2.16,2.17,0.88,2.45,15.31,1062.0,1056.0,-0.04
INSET,3.8,4.97,11923000.0,44397.0,2821.0,26.73,2.34,0.2,0.05,0.14,9.94,9.71,8.02,2.34,55.54,729.0,608.0,8.12
INSURE,220.0,0.0,0.0,0.0,2200.0,2.91,2.32,9.95,,0.0,13.66,137.26,35.59,,24.92,10.0,121.0,-0.05
INTUCH,75.5,0.0,3543700.0,266908.0,242105.0,22.99,6.66,0.21,1.56,3.28,21.44,27.36,17253.22,6.25,36.27,419.0,395.0,-3.4
IP,13.9,0.72,757400.0,10585.0,5178.0,40.75,2.73,0.49,,0.34,8.1,9.69,8.37,,52.29,820.0,758.0,11.7
IRC,13.9,0.0,8700.0,121.0,2780.0,27.12,0.69,0.35,0.29,1.12,2.05,2.54,1.07,2.09,23.56,984.0,993.0,0.52
IRCP,1.06,0.95,6214000.0,6634.0,646.0,53.33,1.14,0.89,,0.02,5.17,2.91,1.99,,83.94,1093.0,926.0,0.16
IRPC,3.08,0.0,40847400.0,125476.0,62121.0,,0.78,1.49,0.03,0.0,-1.87,-5.23,-1.34,2.27,51.94,,,
IT,5.4,2.86,413000.0,2136.0,1979.0,15.68,1.74,2.5,0.30,0.34,5.1,11.16,0.88,5.56,41.01,527.0,660.0,-0.12
ITC,31.0,-1.59,6286200.0,194185.0,94500.0,21.14,4.18,0.14,0.20,1.49,22.55,33.19,19.63,0.65,21.18,368.0,364.0,
ITD,1.9,0.53,4851200.0,9220.0,10085.0,,1.00,7.99,,0.0,0.9,-22.05,-6.5,,77.07,,,
ITEL,3.8,2.15,2471500.0,9346.0,5267.0,19.59,1.50,1.7,,0.2,6.09,8.75,7.87,,49.52,673.0,654.0,0.62
ITNS,4.7,2.62,799300.0,3742.0,0.0,,-,,-,0.0,,,,-,36.0,,,
IVL,38.75,0.0,9010300.0,349955.0,218968.0,4.57,1.03,2.33,0.40,8.54,11.48,26.07,8.17,2.58,35.07,93.0,179.0,0.02
J,3.72,3.91,2689500.0,9834.0,4174.0,20.63,1.52,0.71,0.03,0.18,7.85,9.0,36.26,0.81,32.18,686.0,612.0,-0.72
JAK,1.47,0.0,31200.0,46.0,470.0,,1.11,0.88,,0.0,0.6,-0.19,-2.08,,27.4,,,
JAS,2.32,0.87,11045700.0,25596.0,19935.0,,5.52,17.67,,0.0,3.67,-25.98,-5.39,,45.54,,,
JCK,0.36,5.88,16714200.0,5900.0,1195.0,,0.51,2.67,,0.0,2.09,-14.07,-28.04,,59.28,,,
JCKH,0.12,0.0,8599900.0,1030.0,320.0,,1.71,11.12,,0.0,-21.41,-243.92,-34.94,,67.67,,,
JCT,81.0,3.18,600.0,48.0,1090.0,13.96,0.86,0.16,3.50,5.79,6.72,6.31,11.48,4.32,23.98,666.0,526.0,-8.58
