Name,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,Magic1,Magic2,PEG
WINMED,4.52,-0.44,176200.0,795.0,1808.0,27.83,3.14,0.41,0.07,0.16,10.21,11.56,7.57,1.43,28.82,673.0,608.0,1.05
WINNER,2.46,1.65,319800.0,781.0,1476.0,11.77,2.28,1.18,0.06,0.21,12.34,20.33,5.19,5.25,40.17,290.0,313.0,7.41
WORK,17.9,1.13,96000.0,1717.0,7904.0,67.14,1.75,0.15,0.20,0.27,3.39,2.57,7.72,3.24,49.07,1134.0,1073.0,0.98
WP,4.5,0.0,26300.0,119.0,2333.0,17.34,1.73,4.09,0.15,0.26,2.94,10.21,1.01,3.33,40.96,595.0,823.0,1.37
WPH,4.44,4.23,1928500.0,8488.0,2676.0,8.54,2.56,0.96,0.10,0.52,22.66,34.12,13.88,2.25,29.63,129.0,126.0,0.02
XO,13.2,0.76,310600.0,4132.0,5618.0,15.34,4.87,0.21,0.19,0.86,28.76,33.61,23.93,6.16,39.87,283.0,260.0,0.19
XPG,1.31,0.0,10471300.0,13684.0,12276.0,,1.15,0.03,,0.0,-0.87,-0.9,406.95,,54.48,,,
YGG,8.15,2.52,717700.0,5761.0,4876.0,40.08,8.02,0.05,0.08,0.2,23.6,24.66,36.59,0.86,45.15,567.0,517.0,0.49
YONG,2.2,1.85,3278900.0,7218.0,1523.0,17.2,1.90,0.63,,0.13,9.49,11.42,9.25,,27.24,538.0,488.0,
YUASA,15.2,0.0,445600.0,6854.0,1636.0,14.95,1.60,0.59,0.35,1.02,8.95,11.03,4.15,2.28,15.27,518.0,476.0,-24.83
ZEN,17.3,1.17,379700.0,6474.0,5190.0,47.83,4.24,1.1,,0.36,7.31,9.29,4.02,,27.34,856.0,808.0,-2.77
ZIGA,3.48,1.75,1354000.0,4705.0,2458.0,,2.45,1.03,,0.0,-1.92,-5.63,-11.38,2.68,60.69,,,
